u_id,u_name,v_id,v_name,type
276,"Andrews, Miss. Kornelia Theodosia",766,"Hogeboom, Mrs. John C (Anna Andrews)",SISTER
276,"Andrews, Miss. Kornelia Theodosia",628,"Longley, Miss. Gretchen Fiske",NIECE
807,"Andrews, Mr. Thomas Jr",675,"Watson, Mr. Ennis Hastings",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",733,"Knight, Mr. Robert J",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",467,"Campbell, Mr. William",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",278,"Parkes, Mr. Francis ""Frank""",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",24,"Sloper, Mr. William Thompson",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",414,"Cunningham, Mr. Alfred Fleming",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",1158,"Chisholm, Mr. Roderick Robert Crispin",EMPLOYEE
807,"Andrews, Mr. Thomas Jr",482,"Frost, Mr. Anthony Wood ""Archie""",EMPLOYEE
1082,"Angle, Mr. William A",519,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",WIFE
519,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",1082,"Angle, Mr. William A",HUSBAND
572,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",969,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",SISTER
572,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1248,"Brown, Mrs. John Murray (Caroline Lane Lamson)",SISTER
354,"Arnold-Franchi, Mr. Josef",294,"Haas, Miss. Aloisia",COUSIN
354,"Arnold-Franchi, Mr. Josef",423,"Zimmerman, Mr. Leo",SHARED_CABIN
354,"Arnold-Franchi, Mr. Josef",1286,"Kink-Heilmann, Mr. Anton",SHARED_CABIN
354,"Arnold-Franchi, Mr. Josef",895,"Wirz, Mr. Albert",SHARED_CABIN
354,"Arnold-Franchi, Mr. Josef",1146,"Wenzel, Mr. Linhart",SHARED_CABIN
354,"Arnold-Franchi, Mr. Josef",50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",WIFE
354,"Arnold-Franchi, Mr. Josef",70,"Kink, Mr. Vincenz",SHARED_CABIN
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",185,"Kink-Heilmann, Miss. Luise Gretchen",SHARED_CABIN
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1268,"Kink, Miss. Maria",SHARED_CABIN
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",354,"Arnold-Franchi, Mr. Josef",HUSBAND
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1057,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",SHARED_CABIN
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",294,"Haas, Miss. Aloisia",SHARED_CABIN
1278,"Aronsson, Mr. Ernst Axel Algot",676,"Edvardsson, Mr. Gustaf Hjalmar",COUSIN
1271,"Asplund, Master. Carl Edgar",1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",FATHER
1271,"Asplund, Master. Carl Edgar",1046,"Asplund, Master. Filip Oscar",BROTHER
1271,"Asplund, Master. Carl Edgar",26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",MOTHER
1271,"Asplund, Master. Carl Edgar",234,"Asplund, Miss. Lillian Gertrud",SISTER
1271,"Asplund, Master. Carl Edgar",262,"Asplund, Master. Edvin Rojj Felix",BROTHER
1271,"Asplund, Master. Carl Edgar",183,"Asplund, Master. Clarence Gustaf Hugo",BROTHER
183,"Asplund, Master. Clarence Gustaf Hugo",1046,"Asplund, Master. Filip Oscar",BROTHER
183,"Asplund, Master. Clarence Gustaf Hugo",1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",FATHER
183,"Asplund, Master. Clarence Gustaf Hugo",234,"Asplund, Miss. Lillian Gertrud",SISTER
183,"Asplund, Master. Clarence Gustaf Hugo",262,"Asplund, Master. Edvin Rojj Felix",BROTHER
183,"Asplund, Master. Clarence Gustaf Hugo",1271,"Asplund, Master. Carl Edgar",BROTHER
183,"Asplund, Master. Clarence Gustaf Hugo",26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",MOTHER
262,"Asplund, Master. Edvin Rojj Felix",1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",FATHER
262,"Asplund, Master. Edvin Rojj Felix",183,"Asplund, Master. Clarence Gustaf Hugo",BROTHER
262,"Asplund, Master. Edvin Rojj Felix",234,"Asplund, Miss. Lillian Gertrud",SISTER
262,"Asplund, Master. Edvin Rojj Felix",26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",MOTHER
262,"Asplund, Master. Edvin Rojj Felix",1046,"Asplund, Master. Filip Oscar",BROTHER
262,"Asplund, Master. Edvin Rojj Felix",1271,"Asplund, Master. Carl Edgar",BROTHER
1046,"Asplund, Master. Filip Oscar",234,"Asplund, Miss. Lillian Gertrud",SISTER
1046,"Asplund, Master. Filip Oscar",183,"Asplund, Master. Clarence Gustaf Hugo",BROTHER
1046,"Asplund, Master. Filip Oscar",26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",MOTHER
1046,"Asplund, Master. Filip Oscar",262,"Asplund, Master. Edvin Rojj Felix",BROTHER
1046,"Asplund, Master. Filip Oscar",1271,"Asplund, Master. Carl Edgar",BROTHER
1046,"Asplund, Master. Filip Oscar",1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",FATHER
234,"Asplund, Miss. Lillian Gertrud",1271,"Asplund, Master. Carl Edgar",BROTHER
234,"Asplund, Miss. Lillian Gertrud",1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",FATHER
234,"Asplund, Miss. Lillian Gertrud",1046,"Asplund, Master. Filip Oscar",BROTHER
234,"Asplund, Miss. Lillian Gertrud",262,"Asplund, Master. Edvin Rojj Felix",BROTHER
234,"Asplund, Miss. Lillian Gertrud",26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",MOTHER
234,"Asplund, Miss. Lillian Gertrud",183,"Asplund, Master. Clarence Gustaf Hugo",BROTHER
1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",262,"Asplund, Master. Edvin Rojj Felix",SON
1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",234,"Asplund, Miss. Lillian Gertrud",DAUGHTER
1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",1046,"Asplund, Master. Filip Oscar",SON
1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",1271,"Asplund, Master. Carl Edgar",SON
1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",WIFE
1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",183,"Asplund, Master. Clarence Gustaf Hugo",SON
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",183,"Asplund, Master. Clarence Gustaf Hugo",SON
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1046,"Asplund, Master. Filip Oscar",SON
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1271,"Asplund, Master. Carl Edgar",SON
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",262,"Asplund, Master. Edvin Rojj Felix",SON
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",234,"Asplund, Miss. Lillian Gertrud",DAUGHTER
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",HUSBAND
911,"Assaf Khalil, Mrs. Mariana (Miriam"")""",123,"Nasser, Mr. Nicholas",CONNECTED
911,"Assaf Khalil, Mrs. Mariana (Miriam"")""",694,"Saad, Mr. Khalil",NEPHEW
911,"Assaf Khalil, Mrs. Mariana (Miriam"")""",909,"Assaf, Mr. Gerios",COUSIN
909,"Assaf, Mr. Gerios",911,"Assaf Khalil, Mrs. Mariana (Miriam"")""",COUSIN
909,"Assaf, Mr. Gerios",694,"Saad, Mr. Khalil",RELATIVE
1094,"Astor, Col. John Jacob",558,"Robbins, Mr. Victor",VALET
1094,"Astor, Col. John Jacob",381,"Bidois, Miss. Rosalie",EMPLOYEE
1094,"Astor, Col. John Jacob",717,"Endres, Miss. Caroline Louise",EMPLOYEE
1094,"Astor, Col. John Jacob",701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",WIFE
701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1094,"Astor, Col. John Jacob",HUSBAND
701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",717,"Endres, Miss. Caroline Louise",NURSE
701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",381,"Bidois, Miss. Rosalie",MAID
701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",558,"Robbins, Mr. Victor",CONNECTED
115,"Attalah, Miss. Malake",799,"Ibrahim Shawah, Mr. Yousseff",CONNECTED
115,"Attalah, Miss. Malake",496,"Yousseff, Mr. Gerious",SAME_TICKET
370,"Aubart, Mme. Leontine Pauline",642,"Sagesser, Mlle. Emma",CONNECTED
370,"Aubart, Mme. Leontine Pauline",790,"Guggenheim, Mr. Benjamin",CONNECTED
834,"Augustsson, Mr. Albert",570,"Jonsson, Mr. Carl",COMPANION
834,"Augustsson, Mr. Albert",92,"Andreasson, Mr. Paul Edvin",COMPANION
834,"Augustsson, Mr. Albert",1191,"Johansson, Mr. Nils",COMPANION
834,"Augustsson, Mr. Albert",1049,"Lundin, Miss. Olga Elida",COMPANION
781,"Ayoub, Miss. Banoura",569,"Doharr, Mr. Tannous",RELATIVE
781,"Ayoub, Miss. Banoura",204,"Youseff, Mr. Gerious",RELATIVE
781,"Ayoub, Miss. Banoura",569,"Doharr, Mr. Tannous",RELATIVE
781,"Ayoub, Miss. Banoura",569,"Doharr, Mr. Tannous",CONNECTED
781,"Ayoub, Miss. Banoura",1239,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",CONNECTED
207,"Backstrom, Mr. Karl Alfred",69,"Andersson, Miss. Erna Alexandra",CONNECTED
207,"Backstrom, Mr. Karl Alfred",86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",WIFE
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",69,"Andersson, Miss. Erna Alexandra",CONNECTED
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",207,"Backstrom, Mr. Karl Alfred",HUSBAND
645,"Baclini, Miss. Eugenie",859,"Baclini, Mrs. Solomon (Latifa Qurban)",MOTHER
645,"Baclini, Miss. Eugenie",449,"Baclini, Miss. Marie Catherine",SISTER
645,"Baclini, Miss. Eugenie",470,"Baclini, Miss. Helene Barbara",SISTER
470,"Baclini, Miss. Helene Barbara",859,"Baclini, Mrs. Solomon (Latifa Qurban)",MOTHER
470,"Baclini, Miss. Helene Barbara",645,"Baclini, Miss. Eugenie",SISTER
470,"Baclini, Miss. Helene Barbara",449,"Baclini, Miss. Marie Catherine",SISTER
449,"Baclini, Miss. Marie Catherine",859,"Baclini, Mrs. Solomon (Latifa Qurban)",MOTHER
449,"Baclini, Miss. Marie Catherine",645,"Baclini, Miss. Eugenie",SISTER
449,"Baclini, Miss. Marie Catherine",470,"Baclini, Miss. Helene Barbara",SISTER
859,"Baclini, Mrs. Solomon (Latifa Qurban)",470,"Baclini, Miss. Helene Barbara",DAUGHTER
859,"Baclini, Mrs. Solomon (Latifa Qurban)",645,"Baclini, Miss. Eugenie",DAUGHTER
859,"Baclini, Mrs. Solomon (Latifa Qurban)",449,"Baclini, Miss. Marie Catherine",DAUGHTER
758,"Bailey, Mr. Percy Andrew",1269,"Cotterill, Mr. Henry Harry""""",FRIEND
758,"Bailey, Mr. Percy Andrew",530,"Hocking, Mr. Richard George",FRIEND
758,"Bailey, Mr. Percy Andrew",1008,"Thomas, Mr. John",CONNECTED
758,"Bailey, Mr. Percy Andrew",412,"Hart, Mr. Henry",CONNECTED
758,"Bailey, Mr. Percy Andrew",865,"Gill, Mr. John William",CONNECTED
758,"Bailey, Mr. Percy Andrew",202,"Sage, Mr. Frederick",CONNECTED
758,"Bailey, Mr. Percy Andrew",917,"Robins, Mr. Alexander A",CONNECTED
758,"Bailey, Mr. Percy Andrew",785,"Ali, Mr. William",CONNECTED
758,"Bailey, Mr. Percy Andrew",777,"Tobin, Mr. Roger",CONNECTED
871,"Balkic, Mr. Cerin",109,"Rekic, Mr. Tido",CONNECTED
871,"Balkic, Mr. Cerin",562,"Sivic, Mr. Husein",CONNECTED
871,"Balkic, Mr. Cerin",1101,"Delalic, Mr. Redjo",CONNECTED
328,"Ball, Mrs. (Ada E Hall)",151,"Bateman, Rev. Robert James",CONNECTED
328,"Ball, Mrs. (Ada E Hall)",474,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",CONNECTED
328,"Ball, Mrs. (Ada E Hall)",293,"Levy, Mr. Rene Jacques",SAME_CABIN
328,"Ball, Mrs. (Ada E Hall)",1193,"Malachard, Mr. Noel",SAME_CABIN
703,"Barbara, Miss. Saiide",363,"Barbara, Mrs. (Catherine David)",MOTHER
363,"Barbara, Mrs. (Catherine David)",703,"Barbara, Miss. Saiide",DAUGHTER
291,"Barber, Miss. Ellen ""Nellie""",988,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",CONNECTED
291,"Barber, Miss. Ellen ""Nellie""",742,"Cavendish, Mr. Tyrell William",CONNECTED
151,"Bateman, Rev. Robert James",328,"Ball, Mrs. (Ada E Hall)",CONNECTED
119,"Baxter, Mr. Quigg Edmond",1076,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",SISTER
119,"Baxter, Mr. Quigg Edmond",300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",WIFE
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",119,"Baxter, Mr. Quigg Edmond",HUSBAND
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1076,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",DAUGHTER
219,"Bazzani, Miss. Albina",940,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",EMPLOYER
544,"Beane, Mr. Edward",547,"Beane, Mrs. Edward (Ethel Clarke)",WIFE
547,"Beane, Mrs. Edward (Ethel Clarke)",544,"Beane, Mr. Edward",HUSBAND
1010,"Beattie, Mr. Thomson",1162,"McCaffry, Mr. Thomas Francis",CONNECTED
1035,"Beauchamp, Mr. Henry James",552,"Sharp, Mr. Percival James R",CONNECTED
184,"Becker, Master. Richard F",1218,"Becker, Miss. Ruth Elizabeth",SISTER
184,"Becker, Master. Richard F",619,"Becker, Miss. Marion Louise",SISTER
184,"Becker, Master. Richard F",1070,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",MOTHER
619,"Becker, Miss. Marion Louise",1218,"Becker, Miss. Ruth Elizabeth",SISTER
619,"Becker, Miss. Marion Louise",184,"Becker, Master. Richard F",BROTHER
619,"Becker, Miss. Marion Louise",1070,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",MOTHER
1218,"Becker, Miss. Ruth Elizabeth",184,"Becker, Master. Richard F",BROTHER
1218,"Becker, Miss. Ruth Elizabeth",1070,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",MOTHER
1218,"Becker, Miss. Ruth Elizabeth",619,"Becker, Miss. Marion Louise",SISTER
