Sex,Age,SibSp,Parch,Fare,Survived,Pclass3,Pclass2,Pclass1,Embarked_Q,Embarked_C,Embarked_S,PassengerId
0,28.0,0,0,7.2292,0,1,0,0,0,1,0,525
0,18.5,0,0,7.2292,0,1,0,0,0,1,0,927
1,45.0,0,0,13.5,1,0,1,0,0,0,1,707
1,28.0,1,0,51.8625,1,0,0,1,0,0,1,458
1,28.0,1,0,14.4542,0,1,0,0,0,1,0,1141
1,45.0,1,0,52.5542,1,0,0,1,0,0,1,936
0,29.0,3,1,22.025,1,1,0,0,0,0,1,1286
1,26.0,1,1,22.025,1,1,0,0,0,0,1,1057
0,28.0,0,0,7.225,0,1,0,0,0,1,0,523
1,26.0,1,1,26.0,0,0,1,0,0,0,1,313
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,879
1,49.0,0,0,25.9292,1,0,0,1,0,0,1,797
0,22.0,0,0,7.225,1,1,0,0,0,1,0,554
0,28.0,3,1,25.4667,0,1,0,0,0,0,1,177
1,28.0,0,4,25.4667,0,1,0,0,0,0,1,1024
0,34.5,0,0,6.4375,0,1,0,0,0,1,0,844
1,28.0,1,0,15.5,0,1,0,0,1,0,0,1165
0,36.0,0,0,0.0,0,1,0,0,0,0,1,180
0,35.0,0,0,512.3292,1,0,0,1,0,1,0,738
0,42.0,0,0,26.55,0,0,0,1,0,0,1,1036
1,30.0,1,0,15.55,0,1,0,0,0,0,1,1251
1,55.0,0,0,27.7208,1,0,0,1,0,1,0,1132
1,51.0,0,1,39.4,1,0,0,1,0,0,1,1283
0,28.0,0,0,7.55,0,1,0,0,0,0,1,1062
1,26.0,1,0,16.1,0,1,0,0,0,0,1,618
0,50.0,1,0,26.0,0,0,1,0,0,0,1,922
1,42.0,1,0,26.0,1,0,1,0,0,0,1,433
0,28.0,0,0,7.75,0,1,0,0,1,0,0,1148
1,16.0,0,0,86.5,1,0,0,1,0,0,1,505
0,28.0,0,0,8.05,0,1,0,0,0,0,1,465
0,31.0,1,1,37.0042,0,0,1,0,0,1,0,818
1,24.0,1,1,37.0042,1,0,1,0,0,1,0,1253
0,28.0,0,0,7.2292,1,1,0,0,0,1,0,37
0,28.0,0,0,15.5792,0,0,1,0,0,1,0,946
1,18.0,1,0,53.1,1,0,0,1,0,0,1,1074
1,28.0,0,0,7.225,1,1,0,0,0,1,0,20
1,24.0,0,0,49.5042,1,0,0,1,0,1,0,711
1,28.0,2,0,23.25,1,1,0,0,1,0,0,1019
1,15.0,0,0,8.0292,1,1,0,0,1,0,0,23
0,46.0,0,0,26.0,0,0,1,0,0,0,1,398
1,19.0,1,0,16.1,0,1,0,0,0,0,1,1275
1,28.0,0,0,8.05,0,1,0,0,0,0,1,565
1,28.0,0,0,8.05,0,1,0,0,0,0,1,416
0,55.5,0,0,8.05,0,1,0,0,0,0,1,153
1,28.0,1,0,82.1708,1,0,0,1,0,1,0,376
1,37.0,1,0,90.0,1,0,0,1,1,0,0,1303
1,28.0,0,0,7.8792,1,1,0,0,1,0,0,360
0,47.0,0,0,42.4,0,0,0,1,0,0,1,959
1,28.0,1,0,24.15,1,1,0,0,1,0,0,110
0,28.0,0,0,8.4583,0,1,0,0,1,0,0,6
0,39.0,0,0,26.0,0,0,1,0,0,0,1,706
0,28.0,1,1,15.2458,1,1,0,0,0,1,0,66
0,28.0,1,1,15.2458,1,1,0,0,0,1,0,710
1,28.0,0,2,15.2458,1,1,0,0,0,1,0,1117
0,16.0,0,0,10.5,0,0,1,0,0,0,1,842
1,28.0,0,0,7.7333,1,1,0,0,1,0,0,698
1,24.0,0,0,7.75,1,1,0,0,1,0,0,962
1,28.0,1,0,15.5,1,1,0,0,1,0,0,242
1,15.0,0,0,7.225,1,1,0,0,0,1,0,876
1,1.0,0,2,15.7417,1,1,0,0,0,1,0,382
0,20.0,1,1,15.7417,1,1,0,0,0,1,0,623
1,19.0,1,1,15.7417,1,1,0,0,0,1,0,1225
0,32.5,1,0,30.0708,0,0,1,0,0,1,0,123
1,14.0,1,0,30.0708,1,0,1,0,0,1,0,10
0,36.5,0,2,26.0,0,0,1,0,0,0,1,149
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,224
0,12.0,1,0,11.2417,1,1,0,0,0,1,0,126
1,14.0,1,0,11.2417,1,1,0,0,0,1,0,40
0,41.0,0,0,7.125,0,1,0,0,0,0,1,762
0,20.0,0,0,13.8625,1,0,1,0,0,1,0,1297
0,28.5,0,0,7.2292,0,1,0,0,0,1,0,58
0,28.0,0,0,7.8292,0,1,0,0,1,0,0,553
1,28.0,1,0,15.5,1,1,0,0,1,0,0,187
1,29.0,0,4,21.075,0,1,0,0,0,0,1,568
1,41.0,0,5,39.6875,0,1,0,0,0,0,1,639
1,26.0,0,2,13.775,0,1,0,0,0,0,1,1051
1,22.0,1,0,66.6,1,0,0,1,0,0,1,152
0,41.0,0,0,13.0,0,0,1,0,0,0,1,1056
0,28.0,1,1,22.3583,1,1,0,0,0,1,0,1309
1,28.0,1,1,22.3583,1,1,0,0,0,1,0,129
1,28.0,0,2,22.3583,1,1,0,0,0,1,0,534
1,28.0,0,0,8.1375,0,1,0,0,1,0,0,681
1,28.0,0,0,7.8958,0,1,0,0,0,0,1,101
0,19.0,0,0,7.8958,0,1,0,0,0,0,1,878
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,102
0,32.0,0,0,8.05,1,1,0,0,0,0,1,430
1,56.0,0,1,83.1583,1,0,0,1,0,1,0,880
1,33.0,0,2,26.0,1,0,1,0,0,0,1,507
1,28.0,0,0,8.1125,0,1,0,0,0,0,1,1091
0,28.0,0,0,7.2292,0,1,0,0,0,1,0,860
1,30.0,3,0,21.0,1,0,1,0,0,0,1,727
0,2.0,4,1,29.125,0,1,0,0,1,0,0,17
1,39.0,0,5,29.125,0,1,0,0,1,0,0,886
0,23.0,0,0,15.0458,0,0,1,0,0,1,0,136
1,24.0,2,3,18.75,1,0,1,0,0,0,1,438
1,28.0,0,0,14.5,0,1,0,0,0,0,1,1274
1,43.0,0,1,211.3375,1,0,0,1,0,0,1,780
1,47.0,1,0,14.5,0,1,0,0,0,0,1,133
0,45.0,0,0,26.55,1,0,0,1,0,0,1,188
0,46.0,0,0,79.2,0,0,0,1,0,1,0,1219
1,54.0,1,0,59.4,1,0,0,1,0,1,0,514
1,48.0,1,3,262.375,1,0,0,1,0,1,0,916
0,28.0,0,0,7.2292,0,1,0,0,0,1,0,833
0,25.0,0,0,7.225,0,1,0,0,0,1,0,694
0,28.0,0,0,7.225,0,1,0,0,0,1,0,1166
0,28.0,0,0,7.575,0,1,0,0,0,0,1,1204
0,14.5,8,2,69.55,0,1,0,0,0,0,1,1252
1,28.0,8,2,69.55,0,1,0,0,0,0,1,1080
1,28.0,8,2,69.55,0,1,0,0,0,0,1,864
1,28.0,1,9,69.55,0,1,0,0,0,0,1,1257
1,24.0,0,2,16.7,1,1,0,0,0,0,1,395
1,35.0,1,0,57.75,1,0,0,1,0,1,0,1014
1,30.0,0,0,31.0,1,0,0,1,0,1,0,843
0,29.0,0,0,9.5,1,1,0,0,0,0,1,82
0,28.0,0,0,15.1,0,1,0,0,0,0,1,498
1,39.0,1,0,55.9,1,0,0,1,0,0,1,578
0,22.0,0,0,7.2292,0,1,0,0,0,1,0,61
0,28.0,0,0,8.05,0,1,0,0,0,0,1,838
0,40.0,1,4,27.9,0,1,0,0,0,0,1,361
1,45.0,1,4,27.9,0,1,0,0,0,0,1,168
1,18.0,1,0,60.0,1,0,0,1,0,0,1,1287
1,23.0,1,0,82.2667,1,0,0,1,0,0,1,904
1,40.0,1,1,134.5,1,0,0,1,0,1,0,320
1,28.0,1,0,146.5208,1,0,0,1,0,1,0,32
0,21.0,0,0,8.05,0,1,0,0,0,0,1,495
1,43.0,1,0,55.4417,1,0,0,1,0,1,0,992
1,52.0,1,0,78.2667,1,0,0,1,0,1,0,592
1,62.0,0,0,80.0,1,0,0,1,0,0,1,830
0,31.0,0,0,7.925,1,1,0,0,0,0,1,745
1,63.0,1,0,221.7792,0,0,0,1,0,0,1,1006
1,29.0,1,1,10.4625,0,1,0,0,0,0,1,252
1,48.0,0,0,25.9292,1,0,0,1,0,0,1,863
1,39.0,1,1,79.65,1,0,0,1,0,0,1,559
1,28.0,1,0,52.0,1,0,0,1,0,0,1,670
1,39.0,1,1,110.8833,1,0,0,1,0,1,0,582
0,0.42,0,1,8.5167,1,1,0,0,0,1,0,804
0,28.0,1,0,6.4375,0,1,0,0,0,1,0,1025
0,28.0,0,0,6.4375,0,1,0,0,0,1,0,1008
0,28.0,0,0,7.225,0,1,0,0,0,1,0,1224
1,16.0,1,1,8.5167,1,1,0,0,0,1,0,996
0,28.0,0,0,8.05,0,1,0,0,0,0,1,1111
1,28.0,1,0,16.1,1,1,0,0,0,0,1,432
0,25.0,0,0,0.0,1,1,0,0,0,0,1,272
0,7.0,1,1,15.2458,1,1,0,0,0,1,0,1053
1,9.0,1,1,15.2458,1,1,0,0,0,1,0,1175
1,29.0,0,2,15.2458,1,1,0,0,0,1,0,256
1,28.0,0,0,12.65,1,0,1,0,0,0,1,400
1,27.0,1,0,21.0,0,0,1,0,0,0,1,42
1,30.0,1,1,24.15,0,1,0,0,0,0,1,800
1,31.0,1,0,18.0,0,1,0,0,0,0,1,19
1,31.0,0,0,21.0,1,0,1,0,0,0,1,1241
1,35.0,0,0,512.3292,1,0,0,1,0,1,0,259
1,31.0,0,0,21.0,1,0,1,0,0,0,1,1254
1,60.0,1,0,75.25,1,0,0,1,0,1,0,367
1,12.0,0,0,15.75,1,0,1,0,0,0,1,1012
1,40.0,0,0,15.75,1,0,1,0,0,0,1,162
0,60.0,0,0,26.55,0,0,0,1,0,0,1,695
1,29.0,0,2,23.0,1,0,1,0,0,0,1,1154
1,33.0,1,2,27.75,1,0,1,0,0,0,1,473
1,38.0,0,0,7.2292,1,1,0,0,0,1,0,1239
0,28.0,0,0,12.875,0,0,1,0,0,0,1,1276
1,55.0,0,0,135.6333,1,0,0,1,0,1,0,1206
1,45.0,1,1,164.8667,1,0,0,1,0,0,1,857
1,50.0,1,1,211.5,1,0,0,1,0,1,0,1110
1,47.0,1,0,7.0,1,1,0,0,0,0,1,893
0,28.0,0,0,8.7125,0,1,0,0,0,0,1,1000
0,36.0,0,0,9.5,0,1,0,0,0,0,1,1186
0,27.0,1,0,14.4542,0,1,0,0,0,1,0,621
1,15.0,1,0,14.4542,1,1,0,0,0,1,0,831
0,45.5,0,0,7.225,0,1,0,0,0,1,0,204
0,28.0,0,0,7.225,0,1,0,0,0,1,0,355
0,28.0,0,0,14.4583,0,1,0,0,0,1,0,496
1,24.0,0,0,13.0,0,0,1,0,0,0,1,200
0,26.5,0,0,7.225,0,1,0,0,0,1,0,1028
0,27.0,0,0,7.225,0,1,0,0,0,1,0,1063
0,6.0,1,1,15.2458,0,1,0,0,0,1,0,972
1,44.0,1,0,26.0,0,0,1,0,0,0,1,855
0,28.0,0,0,10.7083,0,0,1,0,1,0,0,976
0,32.0,0,0,7.775,1,1,0,0,0,0,1,1192
0,28.5,0,0,27.7208,0,0,0,1,0,1,0,965
0,0.75,1,1,13.775,0,1,0,0,0,0,1,1173
1,19.0,0,0,26.0,1,0,1,0,0,0,1,428
1,22.0,0,0,39.6875,0,1,0,0,0,0,1,1259
0,47.0,1,0,227.525,0,0,0,1,0,1,0,1094
0,32.0,0,0,7.8542,1,1,0,0,0,0,1,570
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,106
0,27.0,0,0,13.0,0,0,1,0,0,0,1,887
0,14.0,4,1,39.6875,0,1,0,0,0,0,1,687
1,17.0,1,0,108.9,1,0,0,1,0,1,0,308
0,17.0,0,0,8.6625,0,1,0,0,0,0,1,1161
0,24.0,0,0,8.6625,0,1,0,0,0,0,1,1195
0,28.0,0,0,7.75,0,1,0,0,1,0,0,261
0,44.0,0,0,8.05,0,1,0,0,0,0,1,604
0,57.0,1,1,164.8667,0,0,0,1,0,0,1,1109
0,31.0,0,0,13.0,1,0,1,0,0,0,1,674
0,13.0,0,2,20.25,0,1,0,0,0,0,1,1284
0,28.0,0,0,25.925,0,0,0,1,0,0,1,169
0,27.0,0,0,13.0,0,0,1,0,0,0,1,222
0,24.0,2,0,24.15,0,1,0,0,0,0,1,566
0,25.0,0,0,7.8958,0,1,0,0,0,0,1,1101
0,26.0,0,0,10.5,0,0,1,0,0,0,1,620
1,28.0,0,0,12.35,1,0,1,0,1,0,0,304
1,30.0,0,0,106.425,1,0,0,1,0,1,0,538
0,39.0,0,0,7.925,1,1,0,0,0,0,1,401
1,31.0,0,0,7.8542,0,1,0,0,0,0,1,397
0,45.5,0,0,28.5,0,0,0,1,0,0,1,332
0,56.0,0,0,35.5,1,0,0,1,0,1,0,648
0,28.0,0,0,27.7208,0,0,0,1,0,1,0,65
1,0.92,1,2,27.75,1,0,1,0,0,0,1,1142
0,66.0,0,0,10.5,0,0,1,0,0,0,1,34
0,26.0,0,0,7.775,0,1,0,0,0,0,1,163
1,36.0,1,0,17.4,1,1,0,0,0,0,1,560
1,23.0,0,0,8.05,1,1,0,0,0,0,1,1030
0,18.0,0,0,13.0,0,0,1,0,0,0,1,229
0,49.0,1,0,89.1042,1,0,0,1,0,1,0,454
0,38.0,0,0,7.05,0,1,0,0,0,0,1,466
1,17.0,0,0,7.7333,0,1,0,0,1,0,0,1207
0,28.0,0,0,42.4,0,0,0,1,0,0,1,603
1,2.0,0,1,12.2875,1,1,0,0,0,0,1,480
0,28.0,0,0,7.05,0,1,0,0,0,0,1,612
0,28.0,1,2,23.45,0,1,0,0,0,0,1,784
0,41.0,1,0,51.8625,0,0,0,1,0,0,1,1137
0,54.0,0,0,51.8625,0,0,0,1,0,0,1,7
1,33.0,1,0,90.0,1,0,0,1,1,0,0,413
0,28.0,0,0,7.7333,0,1,0,0,1,0,0,630
0,28.0,0,0,13.8625,1,0,1,0,0,1,0,548
0,29.0,0,0,13.8583,1,0,1,0,0,1,0,1261
0,38.0,0,0,0.0,0,0,0,1,0,0,1,823
0,28.0,0,0,26.0,1,0,0,1,0,0,1,1083
0,26.0,0,0,13.0,0,0,1,0,0,0,1,1029
0,40.0,0,0,27.7208,0,0,0,1,0,1,0,31
0,24.0,0,0,10.5,1,0,1,0,0,0,1,1099
0,30.0,0,0,9.5,1,1,0,0,0,0,1,287
0,3.0,1,1,26.0,1,0,1,0,0,0,1,194
0,61.0,0,0,6.2375,0,1,0,0,0,0,1,327
1,28.0,8,2,69.55,0,1,0,0,0,0,1,793
1,40.0,0,0,153.4625,1,0,0,1,0,0,1,610
0,33.0,0,0,9.5,0,1,0,0,0,0,1,753
0,20.0,0,0,7.8542,0,1,0,0,0,0,1,1127
0,18.0,0,0,11.5,0,0,1,0,0,0,1,145
0,22.0,0,0,7.7958,0,1,0,0,0,0,1,1018
1,18.5,0,0,7.2833,0,1,0,0,1,0,0,1005
0,42.0,0,0,13.0,0,0,1,0,0,0,1,150
0,31.0,0,0,7.7333,0,1,0,0,1,0,0,1291
0,70.0,1,1,71.0,0,0,0,1,0,0,1,746
0,32.0,0,0,7.75,0,1,0,0,1,0,0,891
0,30.0,0,0,7.8958,0,1,0,0,0,0,1,607
0,57.0,0,0,12.35,0,0,1,0,1,0,0,627
1,28.0,3,1,25.4667,0,1,0,0,0,0,1,410
1,35.0,0,0,7.75,0,1,0,0,1,0,0,1098
0,28.0,0,0,8.7125,0,1,0,0,0,1,0,585
1,18.0,0,0,7.775,0,1,0,0,0,0,1,808
1,28.0,0,0,13.0,1,0,1,0,0,0,1,444
0,22.0,0,0,135.6333,0,0,0,1,0,1,0,374
0,28.0,0,0,227.525,0,0,0,1,0,1,0,558
0,24.0,1,0,60.0,0,0,0,1,0,0,1,942
1,28.0,0,0,79.2,1,0,0,1,0,1,0,257
0,28.0,0,0,7.2292,0,1,0,0,0,1,0,532
0,31.0,3,0,18.0,0,1,0,0,0,0,1,1037
0,29.0,0,0,7.875,0,1,0,0,0,0,1,423
0,32.0,0,0,22.525,0,1,0,0,0,0,1,1102
0,23.0,0,0,10.5,0,0,1,0,0,0,1,1090
0,51.0,0,0,26.55,1,0,0,1,0,0,1,858
1,19.0,0,0,7.8792,1,1,0,0,1,0,0,45
0,33.0,0,0,7.8958,0,1,0,0,0,1,0,131
1,28.0,0,0,7.75,0,1,0,0,1,0,0,1174
0,45.0,1,0,83.475,0,0,0,1,0,0,1,63
